date,datetime,SPOSTMIN,SACTMIN
5/30/2017,5/30/2017 18:59,165,
5/30/2017,5/30/2017 19:03,165,
5/30/2017,5/30/2017 19:10,165,
5/30/2017,5/30/2017 19:17,165,
5/30/2017,5/30/2017 19:24,165,
5/30/2017,5/30/2017 19:30,165,
5/30/2017,5/30/2017 19:38,165,
5/30/2017,5/30/2017 19:45,165,
5/30/2017,5/30/2017 19:52,165,
5/30/2017,5/30/2017 19:59,165,
5/30/2017,5/30/2017 20:03,165,
5/30/2017,5/30/2017 20:10,165,
5/30/2017,5/30/2017 20:17,165,
5/30/2017,5/30/2017 20:24,165,
5/30/2017,5/30/2017 20:30,165,
5/30/2017,5/30/2017 20:38,165,
5/30/2017,5/30/2017 20:45,165,
5/30/2017,5/30/2017 20:47,165,
5/30/2017,5/30/2017 20:52,165,
5/30/2017,5/30/2017 20:59,165,
5/30/2017,5/30/2017 21:03,195,
5/30/2017,5/30/2017 21:10,195,
5/30/2017,5/30/2017 21:17,195,
5/30/2017,5/30/2017 21:24,195,
5/30/2017,5/30/2017 21:30,195,
5/30/2017,5/30/2017 21:38,195,
5/30/2017,5/30/2017 21:45,-999,
5/30/2017,5/30/2017 21:52,-999,
5/30/2017,5/30/2017 21:59,-999,
5/30/2017,5/30/2017 22:03,-999,
5/30/2017,5/30/2017 22:10,-999,
5/30/2017,5/30/2017 22:17,-999,
5/30/2017,5/30/2017 22:24,-999,
5/30/2017,5/30/2017 22:30,-999,
5/30/2017,5/30/2017 22:38,-999,
5/30/2017,5/30/2017 22:45,-999,
5/30/2017,5/30/2017 22:52,60,
5/30/2017,5/30/2017 22:59,60,
5/30/2017,5/30/2017 23:10,60,
5/30/2017,5/30/2017 23:17,60,
5/30/2017,5/30/2017 23:24,60,
5/30/2017,5/30/2017 23:30,60,
5/30/2017,5/30/2017 23:37,60,
5/30/2017,5/30/2017 23:38,60,
5/30/2017,5/30/2017 23:45,60,
5/30/2017,5/30/2017 23:52,60,
5/30/2017,5/30/2017 23:59,60,
5/30/2017,5/31/2017 0:03,60,
5/30/2017,5/31/2017 0:10,60,
5/30/2017,5/31/2017 0:17,60,
5/30/2017,5/30/2017 23:27,,50
5/30/2017,5/31/2017 0:24,60,
