date,datetime,SPOSTMIN,SACTMIN
7/20/2018,7/20/2018 9:23,25,
7/20/2018,7/20/2018 9:27,25,
7/20/2018,7/20/2018 9:29,25,
7/20/2018,7/20/2018 9:37,25,
7/20/2018,7/20/2018 9:44,25,
7/20/2018,7/20/2018 9:51,50,
7/20/2018,7/20/2018 9:58,45,
7/20/2018,7/20/2018 10:02,45,
7/20/2018,7/20/2018 10:09,50,
7/20/2018,7/20/2018 10:16,55,
7/20/2018,7/20/2018 10:23,50,
7/20/2018,7/20/2018 10:29,50,
7/20/2018,7/20/2018 10:37,55,
7/20/2018,7/20/2018 10:44,60,
7/20/2018,7/20/2018 10:51,35,
7/20/2018,7/20/2018 10:58,40,
7/20/2018,7/20/2018 11:02,40,
7/20/2018,7/20/2018 11:09,40,
7/20/2018,7/20/2018 11:16,45,
7/20/2018,7/20/2018 11:23,50,
7/20/2018,7/20/2018 11:29,50,
7/20/2018,7/20/2018 11:37,45,
7/20/2018,7/20/2018 11:44,40,
7/20/2018,7/20/2018 11:51,35,
7/20/2018,7/20/2018 11:58,35,
7/20/2018,7/20/2018 12:02,50,
7/20/2018,7/20/2018 12:09,50,
7/20/2018,7/20/2018 12:16,40,
7/20/2018,7/20/2018 12:23,40,
7/20/2018,7/20/2018 12:29,35,
7/20/2018,7/20/2018 12:37,50,
7/20/2018,7/20/2018 12:44,50,
7/20/2018,7/20/2018 12:51,35,
7/20/2018,7/20/2018 12:58,35,
7/20/2018,7/20/2018 13:02,35,
7/20/2018,7/20/2018 13:09,45,
7/20/2018,7/20/2018 13:16,40,
7/20/2018,7/20/2018 13:23,45,
7/20/2018,7/20/2018 13:29,40,
7/20/2018,7/20/2018 13:37,35,
7/20/2018,7/20/2018 13:44,40,
7/20/2018,7/20/2018 13:51,40,
7/20/2018,7/20/2018 13:58,40,
7/20/2018,7/20/2018 14:02,40,
7/20/2018,7/20/2018 14:09,45,
7/20/2018,7/20/2018 14:16,80,
7/20/2018,7/20/2018 14:23,80,
7/20/2018,7/20/2018 14:29,80,
7/20/2018,7/20/2018 14:37,75,
7/20/2018,7/20/2018 14:44,75,
7/20/2018,7/20/2018 14:51,35,
7/20/2018,7/20/2018 14:58,35,
7/20/2018,7/20/2018 15:02,40,
7/20/2018,7/20/2018 15:09,40,
7/20/2018,7/20/2018 15:16,35,
7/20/2018,7/20/2018 15:23,30,
7/20/2018,7/20/2018 15:29,25,
7/20/2018,7/20/2018 15:37,35,
7/20/2018,7/20/2018 15:44,35,
7/20/2018,7/20/2018 15:51,35,
7/20/2018,7/20/2018 15:58,40,
7/20/2018,7/20/2018 16:02,40,
7/20/2018,7/20/2018 16:09,25,
7/20/2018,7/20/2018 16:16,30,
7/20/2018,7/20/2018 16:23,35,
7/20/2018,7/20/2018 16:29,40,
7/20/2018,7/20/2018 16:37,40,
7/20/2018,7/20/2018 16:44,35,
7/20/2018,7/20/2018 16:51,35,
7/20/2018,7/20/2018 16:58,35,
7/20/2018,7/20/2018 17:02,35,
7/20/2018,7/20/2018 17:09,50,
7/20/2018,7/20/2018 17:16,40,
7/20/2018,7/20/2018 17:23,35,
7/20/2018,7/20/2018 17:29,35,
7/20/2018,7/20/2018 17:37,35,
7/20/2018,7/20/2018 17:39,35,
7/20/2018,7/20/2018 17:44,40,
7/20/2018,7/20/2018 17:51,45,
7/20/2018,7/20/2018 17:58,35,
7/20/2018,7/20/2018 18:02,40,
7/20/2018,7/20/2018 18:09,35,
7/20/2018,7/20/2018 18:16,35,
7/20/2018,7/20/2018 17:38,,40
7/20/2018,7/20/2018 18:23,40,
7/20/2018,7/20/2018 18:29,40,
7/20/2018,7/20/2018 18:37,40,
7/20/2018,7/20/2018 18:44,40,
7/20/2018,7/20/2018 18:51,40,
7/20/2018,7/20/2018 18:58,40,
7/20/2018,7/20/2018 19:02,40,
7/20/2018,7/20/2018 19:09,35,
7/20/2018,7/20/2018 19:16,35,
7/20/2018,7/20/2018 19:23,35,
7/20/2018,7/20/2018 19:29,35,
7/20/2018,7/20/2018 19:37,45,
7/20/2018,7/20/2018 19:44,45,
7/20/2018,7/20/2018 19:51,40,
7/20/2018,7/20/2018 19:58,35,
7/20/2018,7/20/2018 20:01,40,
7/20/2018,7/20/2018 20:02,35,
7/20/2018,7/20/2018 20:09,35,
7/20/2018,7/20/2018 20:16,35,
7/20/2018,7/20/2018 20:23,30,
7/20/2018,7/20/2018 20:29,25,
7/20/2018,7/20/2018 20:37,30,
7/20/2018,7/20/2018 20:44,30,
7/20/2018,7/20/2018 20:51,35,
7/20/2018,7/20/2018 20:58,35,
7/20/2018,7/20/2018 21:02,35,
7/20/2018,7/20/2018 21:09,35,
7/20/2018,7/20/2018 21:16,35,
7/20/2018,7/20/2018 21:23,35,
7/20/2018,7/20/2018 21:29,35,
7/20/2018,7/20/2018 21:37,25,
7/20/2018,7/20/2018 21:05,,32
7/20/2018,7/20/2018 21:44,25,
7/20/2018,7/20/2018 21:51,30,
7/20/2018,7/20/2018 21:58,25,
7/20/2018,7/20/2018 22:02,25,
7/20/2018,7/20/2018 22:09,25,
7/20/2018,7/20/2018 22:16,35,
7/20/2018,7/20/2018 22:23,25,
7/20/2018,7/20/2018 22:29,40,
7/20/2018,7/20/2018 22:37,35,
7/20/2018,7/20/2018 22:44,35,
7/20/2018,7/20/2018 22:51,35,
7/20/2018,7/20/2018 22:58,35,
7/20/2018,7/20/2018 23:02,35,
7/20/2018,7/20/2018 22:41,,24
7/20/2018,7/20/2018 23:09,35,
7/20/2018,7/20/2018 22:45,,25
7/20/2018,7/20/2018 22:45,,25
7/20/2018,7/20/2018 23:16,35,
7/20/2018,7/20/2018 23:23,25,
7/20/2018,7/20/2018 23:29,25,
7/20/2018,7/20/2018 23:37,25,
7/20/2018,7/20/2018 23:44,25,
7/20/2018,7/20/2018 23:51,25,
7/20/2018,7/20/2018 23:58,25,
7/20/2018,7/21/2018 0:02,20,
7/20/2018,7/21/2018 0:09,15,
7/20/2018,7/21/2018 0:16,15,
7/20/2018,7/21/2018 0:23,5,
7/20/2018,7/21/2018 0:29,5,
7/21/2018,7/21/2018 6:37,5,
7/21/2018,7/21/2018 6:44,5,
7/21/2018,7/21/2018 6:51,5,
7/21/2018,7/21/2018 6:58,5,
7/21/2018,7/21/2018 7:02,5,
7/21/2018,7/21/2018 7:09,5,
7/21/2018,7/21/2018 7:16,5,
7/21/2018,7/21/2018 7:23,5,
7/21/2018,7/21/2018 7:29,5,
7/21/2018,7/21/2018 7:37,5,
7/21/2018,7/21/2018 7:44,5,
7/21/2018,7/21/2018 7:51,5,
7/21/2018,7/21/2018 7:58,10,
7/21/2018,7/21/2018 8:02,10,
7/21/2018,7/21/2018 8:09,10,
7/21/2018,7/21/2018 8:16,15,
7/21/2018,7/21/2018 8:23,20,
7/21/2018,7/21/2018 8:29,20,
7/21/2018,7/21/2018 8:37,20,
7/21/2018,7/21/2018 8:23,,14
7/21/2018,7/21/2018 8:44,20,
7/21/2018,7/21/2018 8:51,20,
7/21/2018,7/21/2018 8:58,20,
7/21/2018,7/21/2018 9:02,20,
7/21/2018,7/21/2018 9:09,25,
7/21/2018,7/21/2018 9:16,25,
7/21/2018,7/21/2018 9:23,25,
7/21/2018,7/21/2018 9:29,25,
7/21/2018,7/21/2018 9:37,25,
7/21/2018,7/21/2018 9:44,25,
7/21/2018,7/21/2018 9:51,25,
7/21/2018,7/21/2018 9:58,25,
7/21/2018,7/21/2018 10:02,25,
7/21/2018,7/21/2018 10:04,25,
7/21/2018,7/21/2018 10:09,30,
7/21/2018,7/21/2018 10:16,35,
7/21/2018,7/21/2018 10:23,40,
7/21/2018,7/21/2018 10:29,40,
7/21/2018,7/21/2018 10:37,40,
7/21/2018,7/21/2018 10:44,35,
7/21/2018,7/21/2018 10:51,35,
7/21/2018,7/21/2018 10:58,50,
7/21/2018,7/21/2018 11:02,35,
7/21/2018,7/21/2018 11:09,35,
7/21/2018,7/21/2018 11:16,35,
7/21/2018,7/21/2018 11:23,35,
7/21/2018,7/21/2018 11:29,35,
7/21/2018,7/21/2018 11:37,35,
7/21/2018,7/21/2018 11:44,35,
7/21/2018,7/21/2018 11:51,35,
7/21/2018,7/21/2018 11:58,35,
